customer_id,feedback
001,"The product quality is excellent! I love it."
002,"Terrible experience. The item arrived broken."
003,"Average product. Nothing special but works fine."
004,"Amazing customer service! Will buy again."
005,"Very disappointed. Poor quality for the price."
006,"Fast shipping and great packaging!"
007,"The product stopped working after 2 days."
008,"Exactly what I expected. Good value for money."
009,"Outstanding quality! Exceeded my expectations."
010,"Worst purchase ever. Complete waste of money."
011,"Pretty good product. Minor issues but overall satisfied."
012,"Love the design! Very stylish and functional."
013,"Customer support was unhelpful and rude."
014,"Great product but took too long to arrive."
015,"Perfect! Exactly as described. Highly recommend."